YEAR,MO,DY,HR,UV,Tem,Hum
2018,1,17,21,0,24.57,83.75
2018,1,17,22,0,24.04,87.94
2018,1,17,23,0,23.65,90.5
2018,1,18,0,0,23.31,92.38
2018,1,18,1,0,22.95,93.81
2018,1,18,2,0,22.73,94.62
2018,1,18,3,0,22.66,94.56
2018,1,18,4,0,22.49,94.94
2018,1,18,5,0,22.17,96.12
2018,1,18,6,0.02,22.73,92.94
2018,1,18,7,0.42,25.18,77.06
2018,1,18,8,2.05,27.8,63.56
2018,1,18,9,4.75,30.07,55.25
2018,1,18,10,7.25,31.9,49.38
2018,1,18,11,7.83,33.15,45.88
2018,1,18,12,7.15,33.83,44.06
2018,1,18,13,6.58,33.9,43.56
2018,1,18,14,4.58,33.24,45.12
2018,1,18,15,2.02,32.23,48.12
2018,1,18,16,0.52,30.8,54.25
2018,1,18,17,0.02,28.71,64.06
2018,1,18,18,0,27.39,69.94
2018,1,18,19,0,26.27,76.38
2018,1,18,20,0,25.36,82.12
2018,1,18,21,0,24.69,86.62
2018,1,18,22,0,24.27,89.88
2018,1,18,23,0,24,92.19
2018,1,19,0,0,23.8,93.38
2018,1,19,1,0,23.64,94.06
2018,1,19,2,0,23.46,94.62
2018,1,19,3,0,23.25,95.19
2018,1,19,4,0,23.04,95.38
2018,1,19,5,0,22.86,95.12
2018,1,19,6,0.02,23.19,93.25
2018,1,19,7,0.3,24.97,84.12
2018,1,19,8,1.52,27.05,73.06
2018,1,19,9,3.85,28.05,67.62
2018,1,19,10,5.95,29.11,63.5
2018,1,19,11,5,29.98,60.88
2018,1,19,12,4.3,30.26,60.06
2018,1,19,13,4.02,30.03,61.12
2018,1,19,14,2.73,29.41,64.19
2018,1,19,15,1.6,28.7,68.25
2018,1,19,16,0.42,27.74,74.75
2018,1,19,17,0.02,26.44,84.19
2018,1,19,18,0,25.48,89.38
2018,1,19,19,0,25.12,91.56
2018,1,19,20,0,25.07,91.25
2018,1,19,21,0,25.17,88.69
2018,1,19,22,0,24.79,90.25
2018,1,19,23,0,24.4,91.44
2018,1,20,0,0,23.92,92.56
2018,1,20,1,0,23.4,93.81
2018,1,20,2,0,22.93,95.25
2018,1,20,3,0,22.49,96.5
2018,1,20,4,0,22.15,97.06
2018,1,20,5,0,21.92,96.94
2018,1,20,6,0.02,22.61,94.56
2018,1,20,7,0.42,24.62,84.69
2018,1,20,8,2,27.33,69.94
2018,1,20,9,4.8,29.71,58.62
2018,1,20,10,7.8,31.17,52.38
2018,1,20,11,8.02,32.04,49.44
2018,1,20,12,7.65,32.49,48.62
2018,1,20,13,7.42,32.6,49
2018,1,20,14,5.15,32.19,50.81
2018,1,20,15,2.38,31.37,54.19
2018,1,20,16,0.6,30.15,61.31
2018,1,20,17,0.02,28.11,73.69
2018,1,20,18,0,26.88,79.5
2018,1,20,19,0,26.23,84
2018,1,20,20,0,25.69,89.31
2018,1,20,21,0,25.34,91.75
2018,1,20,22,0,25.18,90.12
2018,1,20,23,0,25.01,88.44
2018,1,21,0,0,24.65,90
2018,1,21,1,0,24.18,91.38
2018,1,21,2,0,23.7,92.69
2018,1,21,3,0,23.22,94.19
2018,1,21,4,0,22.86,95.56
2018,1,21,5,0,22.62,96.56
2018,1,21,6,0.02,23.12,96.12
2018,1,21,7,0.42,24.63,90.06
2018,1,21,8,1.98,26.9,77.38
2018,1,21,9,4.48,29.58,63.31
2018,1,21,10,7.1,31.27,57.12
2018,1,21,11,7.05,32.32,53.94
2018,1,21,12,7.15,32.72,52.75
2018,1,21,13,6.62,32.59,53.06
2018,1,21,14,4.55,32.09,54.5
2018,1,21,15,2.1,31.3,57.5
2018,1,21,16,0.52,30.12,64.44
2018,1,21,17,0.02,28.29,75.31
2018,1,21,18,0,27.06,79.12
2018,1,21,19,0,26.34,81.75
2018,1,21,20,0,25.82,84.88
2018,1,21,21,0,25.44,87.94
2018,1,21,22,0,25.2,90.25
2018,1,21,23,0,25.03,92.38
2018,1,22,0,0,24.85,93.81
2018,1,22,1,0,24.67,94.38
